date_mmm_yy,ageunder16,age16_24,age25_44,age45_64,age65over
2020-01-01,1440,1227,3893,2852,504
2020-01-01,429,432,1096,1205,307
2020-01-01,969,341,1177,427,27
2020-01-01,1438,238,790,231,9
2020-01-01,0,987,0,0,0
2020-01-01,0,0,3103,2621,495
2020-01-01,471,886,2716,2425,477
2020-02-01,1434,1185,3909,2795,511
2020-02-01,405,435,1029,1251,309
2020-02-01,961,334,1174,407,26
2020-02-01,1434,226,798,219,9
2020-02-01,0,957,0,0,0
2020-02-01,0,0,3111,2576,502
2020-02-01,473,851,2735,2388,485
2020-03-01,1380,1135,3854,2805,506
2020-03-01,424,441,1057,1230,315
2020-03-01,896,319,1134,412,26
2020-03-01,1379,230,779,238,10
2020-03-01,0,905,0,0,0
2020-03-01,0,0,3075,2567,496
2020-03-01,484,816,2720,2393,480
2020-04-01,1234,1050,3518,2644,489
2020-04-01,384,454,1089,1224,317
2020-04-01,767,282,1006,376,21
2020-04-01,1226,223,764,278,23
2020-04-01,0,827,0,0,0
2020-04-01,0,0,2754,2366,466
2020-04-01,467,768,2512,2268,468
2020-05-01,1093,964,3151,2523,476
2020-05-01,393,449,1143,1239,325
2020-05-01,684,259,861,345,23
2020-05-01,1037,193,669,284,34
2020-05-01,0,769,0,0,0
2020-05-01,0,0,2482,2239,442
2020-05-01,409,705,2290,2178,453
2020-06-01,993,889,2939,2381,466
2020-06-01,414,448,1161,1260,332
2020-06-01,599,229,760,302,27
2020-06-01,961,187,622,279,40
2020-06-01,0,701,0,0,0
2020-06-01,0,0,2317,2102,426
2020-06-01,394,660,2179,2079,439
2020-07-01,911,878,2962,2331,470
2020-07-01,415,439,1135,1279,330
2020-07-01,498,209,640,270,26
2020-07-01,897,176,591,250,37
2020-07-01,0,693,0,0,0
2020-07-01,0,0,2371,2081,433
2020-07-01,413,669,2322,2061,444
2020-08-01,879,891,3011,2336,463
2020-08-01,440,446,1261,1367,321
2020-08-01,449,191,580,243,24
2020-08-01,872,186,566,226,31
2020-08-01,0,697,0,0,0
2020-08-01,0,0,2445,2110,432
2020-08-01,430,700,2431,2093,439
2020-09-01,806,895,2988,2390,493
2020-09-01,377,411,1255,1399,334
2020-09-01,381,191,568,246,26
2020-09-01,803,175,476,150,11
2020-09-01,0,713,0,0,0
2020-09-01,0,0,2512,2240,482
2020-09-01,425,704,2420,2144,467
2020-10-01,764,891,2904,2429,518
2020-10-01,301,382,1242,1416,354
2020-10-01,305,170,497,220,23
2020-10-01,735,169,412,136,11
2020-10-01,0,720,0,0,0
2020-10-01,0,0,2492,2293,507
2020-10-01,459,721,2407,2209,495
2020-11-01,710,889,3001,2482,504
2020-11-01,238,365,1172,1429,348
2020-11-01,258,163,455,202,18
2020-11-01,679,174,369,131,6
2020-11-01,0,714,0,0,0
2020-11-01,0,0,2632,2351,498
2020-11-01,452,726,2546,2280,486
2020-12-01,661,887,3090,2566,537
2020-12-01,205,357,1180,1436,355
2020-12-01,226,160,423,195,20
2020-12-01,633,158,355,133,9
2020-12-01,0,729,0,0,0
2020-12-01,0,0,2735,2433,528
2020-12-01,435,727,2667,2371,517
2021-01-01,619,892,3165,2607,546
2021-01-01,203,342,1194,1452,359
2021-01-01,219,153,406,201,16
2021-01-01,601,147,351,130,10
2021-01-01,0,752,0,0,0
2021-01-01,0,0,2814,2477,536
2021-01-01,400,739,2759,2406,530
2021-01-01,6,96,494,274,25
2021-02-01,609,884,3226,2599,553
2021-02-01,220,332,1214,1467,368
2021-02-01,223,148,408,200,17
2021-02-01,590,139,348,134,10
2021-02-01,0,743,0,0,0
2021-02-01,0,0,2878,2465,543
2021-02-01,386,736,2818,2399,536
2021-02-01,5,100,526,266,30
2021-03-01,584,863,3186,2573,539
2021-03-01,222,320,1234,1478,361
2021-03-01,227,141,384,194,15
2021-03-01,570,127,340,121,7
2021-03-01,0,735,0,0,0
2021-03-01,0,0,2846,2452,532
2021-03-01,357,722,2802,2379,524
2021-03-01,3,99,513,267,30
2021-04-01,573,906,3010,2499,528
2021-04-01,217,312,1244,1498,356
2021-04-01,223,145,374,182,15
2021-04-01,559,134,332,125,7
2021-04-01,0,771,0,0,0
2021-04-01,0,0,2678,2374,521
2021-04-01,350,761,2636,2317,513
2021-04-01,4,94,483,251,29
2021-05-01,569,901,3083,2492,530
2021-05-01,230,308,1318,1520,363
2021-05-01,220,144,376,182,17
2021-05-01,562,132,343,126,10
2021-05-01,0,769,0,0,0
2021-05-01,0,0,2740,2366,520
2021-05-01,349,757,2707,2310,513
2021-05-01,7,94,502,257,28
2021-06-01,618,979,3295,2594,551
2021-06-01,226,326,1354,1563,371
2021-06-01,244,152,390,196,16
2021-06-01,611,152,360,144,9
2021-06-01,0,826,0,0,0
2021-06-01,0,0,2935,2450,542
2021-06-01,374,827,2905,2398,535
2021-06-01,3,104,524,279,26
2021-07-01,673,972,3430,2682,565
2021-07-01,247,317,1381,1578,381
2021-07-01,258,150,390,198,18
2021-07-01,671,143,385,145,12
2021-07-01,0,829,0,0,0
2021-07-01,0,0,3045,2537,553
2021-07-01,415,822,3040,2484,547
2021-07-01,5,108,536,300,23
2021-08-01,701,972,3524,2701,581
2021-08-01,237,340,1386,1565,387
2021-08-01,254,143,386,191,21
2021-08-01,686,147,397,134,14
2021-08-01,0,823,0,0,0
2021-08-01,0,0,3127,2567,567
2021-08-01,447,829,3138,2510,560
2021-08-01,5,114,554,302,27
2021-09-01,787,1011,3588,2781,593
2021-09-01,230,347,1418,1572,391
2021-09-01,312,161,454,199,23
2021-09-01,772,168,445,149,14
2021-09-01,0,842,0,0,0
2021-09-01,0,0,3143,2632,579
2021-09-01,475,850,3134,2582,570
2021-09-01,8,122,554,310,32
2021-10-01,847,1052,3665,2833,595
2021-10-01,237,362,1424,1587,400
2021-10-01,364,182,519,211,25
2021-10-01,839,190,486,169,16
2021-10-01,0,861,0,0,0
2021-10-01,0,0,3179,2664,579
2021-10-01,483,870,3146,2622,570
2021-10-01,6,134,573,308,32
2021-11-01,849,1060,3753,2921,616
2021-11-01,231,371,1486,1620,423
2021-11-01,362,187,556,222,22
2021-11-01,846,205,505,179,19
2021-11-01,0,855,0,0,0
2021-11-01,0,0,3248,2742,597
2021-11-01,487,873,3197,2699,594
2021-11-01,6,122,573,337,32
2021-12-01,901,1054,3733,2930,637
2021-12-01,269,385,1507,1663,434
2021-12-01,415,204,641,247,23
2021-12-01,888,200,536,183,20
2021-12-01,0,850,0,0,0
2021-12-01,0,0,3197,2747,617
2021-12-01,486,850,3092,2683,614
2021-12-01,5,126,545,335,32
2022-01-01,909,1055,3807,2987,652
2022-01-01,283,385,1561,1686,450
2022-01-01,470,229,725,275,27
2022-01-01,896,204,556,185,20
2022-01-01,0,851,0,0,0
2022-01-01,0,0,3251,2802,632
2022-01-01,439,826,3082,2712,625
2022-01-01,5,127,577,354,35
2022-02-01,920,1096,3843,3045,655
2022-02-01,314,388,1603,1754,449
2022-02-01,487,261,758,299,28
2022-02-01,912,213,569,192,18
2022-02-01,0,882,0,0,0
2022-02-01,0,0,3274,2853,637
2022-02-01,433,835,3085,2746,627
2022-02-01,6,134,614,368,37
2022-03-01,1012,1165,3991,3104,661
2022-03-01,345,417,1640,1836,448
2022-03-01,582,312,837,337,31
2022-03-01,1006,248,622,221,18
2022-03-01,0,913,0,0,0
2022-03-01,0,0,3369,2883,643
2022-03-01,430,853,3154,2767,630
2022-03-01,6,140,647,358,42
2022-04-01,1053,1175,3919,3104,662
2022-04-01,364,441,1666,1870,437
2022-04-01,631,333,885,381,33
2022-04-01,1045,267,644,235,17
2022-04-01,0,908,0,0,0
2022-04-01,0,0,3275,2869,645
2022-04-01,422,842,3034,2723,629
2022-04-01,3,121,643,343,43
2022-05-01,1073,1180,3757,3057,665
2022-05-01,392,478,1653,1905,457
2022-05-01,655,355,929,402,38
2022-05-01,1064,272,658,247,19
2022-05-01,0,907,0,0,0
2022-05-01,0,0,3099,2810,646
2022-05-01,418,825,2828,2655,627
2022-05-01,3,122,615,352,38
2022-06-01,1091,1193,3780,3014,674
2022-06-01,415,482,1659,1896,464
2022-06-01,675,360,977,398,39
2022-06-01,1052,261,655,231,19
2022-06-01,0,932,0,0,0
2022-06-01,0,0,3125,2783,655
2022-06-01,416,833,2803,2616,635
2022-06-01,3,125,590,352,33
2022-07-01,1125,1165,3830,2974,674
2022-07-01,408,495,1634,1888,476
2022-07-01,696,374,1113,416,39
2022-07-01,1088,265,668,234,19
2022-07-01,0,899,0,0,0
2022-07-01,0,0,3162,2740,655
2022-07-01,429,791,2717,2558,635
2022-07-01,2,118,554,324,36
2022-08-01,1114,1156,3837,2942,675
2022-08-01,388,511,1638,1885,477
2022-08-01,699,379,1252,445,38
2022-08-01,1078,252,674,235,18
2022-08-01,0,904,0,0,0
2022-08-01,0,0,3163,2707,657
2022-08-01,415,777,2585,2497,637
2022-08-01,3,116,512,307,33
2022-09-01,1126,1158,3815,2939,652
2022-09-01,442,527,1659,1880,470
2022-09-01,702,413,1359,460,42
2022-09-01,1095,244,648,218,16
2022-09-01,0,914,0,0,0
2022-09-01,0,0,3167,2721,636
2022-09-01,424,745,2456,2479,610
2022-09-01,2,111,466,305,31
2022-10-01,1155,1132,3845,2860,630
2022-10-01,426,520,1652,1860,468
2022-10-01,728,425,1443,468,45
2022-10-01,1132,242,648,221,17
2022-10-01,0,889,0,0,0
2022-10-01,0,0,3197,2639,613
2022-10-01,427,707,2402,2392,585
2022-10-01,2,106,465,294,28
2022-11-01,1134,1139,3930,2882,626
2022-11-01,391,516,1655,1864,472
2022-11-01,717,437,1495,489,47
2022-11-01,1117,248,641,231,18
2022-11-01,0,889,0,0,0
2022-11-01,0,0,3289,2651,608
2022-11-01,417,702,2435,2393,579
2022-11-01,2,97,474,299,25
2022-12-01,1273,1234,4286,2994,621
2022-12-01,379,518,1687,1843,468
2022-12-01,803,497,1677,507,46
2022-12-01,1251,290,744,227,17
2022-12-01,0,936,0,0,0
2022-12-01,0,0,3542,2767,604
2022-12-01,470,737,2609,2487,575
2022-12-01,3,99,523,321,32
2023-01-01,1272,1242,4494,3082,612
2023-01-01,387,501,1811,1859,457
2023-01-01,795,502,1720,518,40
2023-01-01,1245,281,743,223,16
2023-01-01,0,959,0,0,0
2023-01-01,0,0,3751,2859,596
2023-01-01,477,740,2774,2564,572
2023-01-01,2,99,558,326,33
2023-02-01,1231,1233,4645,3136,604
2023-02-01,373,477,1859,1855,437
2023-02-01,759,517,1752,526,38
2023-02-01,1213,268,741,219,17
2023-02-01,0,963,0,0,0
2023-02-01,0,0,3904,2917,587
2023-02-01,472,716,2893,2610,566
2023-02-01,2,99,603,336,27
2023-03-01,1237,1237,4649,3083,605
2023-03-01,380,488,1916,1867,440
2023-03-01,764,537,1773,516,43
2023-03-01,1224,265,763,206,17
2023-03-01,0,971,0,0,0
2023-03-01,0,0,3886,2877,588
2023-03-01,473,700,2876,2567,562
2023-03-01,4,109,596,339,30
2023-04-01,1225,1249,4496,2945,600
2023-04-01,394,482,1882,1812,447
2023-04-01,779,571,1768,506,39
2023-04-01,1215,261,746,199,11
2023-04-01,0,986,0,0,0
2023-04-01,0,0,3750,2746,589
2023-04-01,446,678,2728,2439,561
2023-04-01,6,107,566,312,32
2023-05-01,1242,1272,4494,2845,600
2023-05-01,392,472,1832,1778,443
2023-05-01,779,635,1942,519,39
2023-05-01,1230,257,764,194,13
2023-05-01,0,1015,0,0,0
2023-05-01,0,0,3730,2651,587
2023-05-01,463,637,2552,2326,561
2023-05-01,9,94,543,295,31
2023-06-01,1282,1310,4471,2781,574
2023-06-01,528,511,1859,1775,438
2023-06-01,780,683,2109,562,37
2023-06-01,1272,277,783,208,14
2023-06-01,0,1033,0,0,0
2023-06-01,0,0,3688,2573,560
2023-06-01,502,627,2362,2219,537
2023-06-01,10,80,480,259,26
2023-07-01,1279,1314,4339,2626,552
2023-07-01,559,530,1899,1729,428
2023-07-01,787,720,2225,585,37
2023-07-01,1267,284,779,213,14
2023-07-01,0,1029,0,0,0
