occupied_year,num_returned_from_housing,num_returned_to_shelter,num_moved_to_housing
2018,29.571428571428573,220.8095238095238,320.25
2019,33.285714285714285,225.8095238095238,335.6904761904762
2020,34.36904761904762,194.38095238095238,257.79761904761904
2021,34.25,171.83333333333334,129.29166666666666
2022,32.5,144.17708333333334,166.875
2023,23.885416666666668,113.94791666666667,228.47916666666666
